Event ID,Season,MatchDay,Year,Month,Day,Date,Home Team,Away Team,Home Score,Away Score,Home ML,Draw ML,Away ML,,,
,AP25,5,2025,8,15,8/15/25,NEC,LEO,0,1,-110,270,280,,,
,AP25,5,2025,8,15,8/15/25,PUE,ASL,0,2,135,250,190,,,
,AP25,5,2025,8,16,8/16/25,TOL,PUM,1,1,-130,275,340,,,
,AP25,5,2025,8,16,8/16/25,PAC,TIJ,0,2,-265,400,650,,,
,AP25,5,2025,8,16,8/16/25,GDL,JUA,1,2,-160,295,400,,,
,AP25,5,2025,8,16,8/16/25,TIG,AME,1,3,125,215,235,,,
,AP25,5,2025,8,16,8/16/25,CAZ,SAN,3,2,-450,600,1000,,,
,AP25,5,2025,8,17,8/17/25,MTY,MAZ,3,2,-310,400,750,,,
,AP25,5,2025,8,17,8/17/25,QRO,ATLX,3,3,225,230,125,,,
,AP25,6,2025,8,22,8/22/25,JUA,SAN,2,1,-165,310,425,,,
,AP25,6,2025,8,22,8/22/25,TIJ,GDL,3,3,200,250,125,,,
,AP25,6,2025,8,22,8/22/25,QRO,ASL,3,2,210,230,130,,,
,AP25,6,2025,8,23,8/23/25,MTY,NEC,3,0,-180,340,425,,,
,AP25,6,2025,8,23,8/23/25,MAZ,TIG,2,2,330,270,-125,,,
,AP25,6,2025,8,23,8/23/25,CAZ,TOL,1,0,105,275,225,,,
,AP25,6,2025,8,23,8/23/25,LEO,PAC,1,1,230,235,120,,,
,AP25,6,2025,8,24,8/24/25,PUM,PUE,0,0,-180,300,475,,,
,AP25,6,2025,8,24,8/24/25,ATLX,AME,2,4,370,280,-140,,,
,AP25,7,2025,8,29,8/29/25,PUE,MTY,2,4,320,270,-120,,,
,AP25,7,2025,8,29,8/29/25,JUA,MAZ,1,0,-120,245,340,,,
,AP25,7,2025,8,29,8/29/25,ASL,TOL,1,3,320,300,-135,,,
,AP25,7,2025,8,30,8/30/25,AME,PAC,2,0,-105,260,270,,,
,AP25,7,2025,8,30,8/30/25,GDL,CAZ,1,2,175,235,155,,,
,AP25,7,2025,8,30,8/30/25,LEO,QRO,3,0,-165,300,425,,,
,AP25,7,2025,8,30,8/30/25,SAN,TIG,0,1,500,340,-205,,,
,AP25,7,2025,8,31,8/31/25,PUM,ATLX,1,0,-115,260,310,,,
,AP25,7,2025,8,31,8/31/25,TIJ,NEC,3,0,135,255,185,,,
,AP25,8,2025,9,12,9/12/25,MAZ,PUM,1,4,240,225,120,,,
,AP25,8,2025,9,12,9/12/25,NEC,JUA,1,1,100,240,270,,,
,AP25,8,2025,9,13,9/13/25,ATLX,SAN,2,2,-130,285,330,,,
,AP25,8,2025,9,13,9/13/25,TOL,PUE,3,1,-290,425,700,,,
,AP25,8,2025,9,13,9/13/25,TIG,LEO,0,0,-230,380,550,,,
,AP25,8,2025,9,13,9/13/25,PAC,CAZ,0,1,180,235,150,,,
,AP25,8,2025,9,13,9/13/25,AME,GDL,1,2,-125,265,340,,,
,AP25,8,2025,9,14,9/14/25,ASL,TIJ,1,1,120,265,205,,,
,AP25,8,2025,9,14,9/14/25,QRO,MTY,0,1,450,295,-170,,,
,AP25,1,2025,9,17,9/17/25,GDL,TIG,1,1,125,240,210,,,
,AP25,9,2025,9,19,9/19/25,CAZ,JUA,3,2,-185,330,475,,,
,AP25,9,2025,9,19,9/19/25,NEC,PUE,1,0,-125,265,330,,,
,AP25,9,2025,9,19,9/19/25,TIJ,LEO,5,0,-110,290,260,,,
,AP25,9,2025,9,19,9/19/25,MAZ,ATLX,1,1,125,245,210,,,
,AP25,9,2025,9,20,9/20/25,PUM,TIG,1,1,140,235,190,,,
,AP25,9,2025,9,20,9/20/25,PAC,QRO,0,1,-290,425,750,,,
,AP25,9,2025,9,20,9/20/25,MTY,AME,2,2,140,240,185,,,
,AP25,9,2025,9,20,9/20/25,GDL,TOL,0,3,185,235,145,,,
,AP25,9,2025,9,21,9/21/25,SAN,ASL,1,4,140,265,170,,,
,AP25,10,2025,9,23,9/23/25,PUE,PAC,2,2,270,265,-105,,,
,AP25,10,2025,9,23,9/23/25,GDL,NEC,3,1,-115,265,295,,,
,AP25,10,2025,9,23,9/23/25,LEO,MAZ,2,2,-145,295,380,,,
,AP25,10,2025,9,23,9/23/25,JUA,PUM,3,1,175,205,165,,,
,AP25,10,2025,9,24,9/24/25,ASL,AME,0,1,400,310,-160,,,
,AP25,10,2025,9,24,9/24/25,CAZ,QRO,2,2,-450,500,1000,,,
,AP25,10,2025,9,24,9/24/25,TOL,MTY,6,2,-145,295,370,,,
,AP25,10,2025,9,24,9/24/25,TIG,ATLX,2,2,-265,400,650,,,
,AP25,10,2025,9,24,9/24/25,SAN,TIJ,1,0,240,280,100,,,
,AP25,11,2025,9,26,9/26/25,PUE,GDL,0,2,235,235,115,,,
